$$gwn)	ssgwn) N02
wbdq	w_ c+bdq V01
wbdqh	w_ c+bdq V01
wbdqw	w_ c+bdq V01
wbdqwr)y	w_ c+b_ p02+dqwr) N05
wbdqy	w_ c+bdq V01
wbdqyh	w_ c+bdq V01
wbdr	w_ c+bdr V02
wbdrwh	w_ c+bdr V02
wbdry	w_ c+bdr V01
wbdrynhw	w_ c+bdr V02
wbdwN	w_ c+b_ p02+dwn V01
wbdwq	w_ c+bdq V01
wbdxyTy	w_ c+bd_ p+xyTt) N05
wbdyhyb	w_ c+d_ c+yhb V01
wbdylN	w_ c+bdyl A03
wbdyly	w_ c+bdyl A03
wbdyly	w_ c+bdyl A05
wbdyn)	w_ c+b_ p02+dyn) N02
wbdyq	w_ c+bdq V01
wbg$t)	w_ c+gy$t) N02
wbgy$t)	w_ c+b_ p02+gy$t) N02
wbgzyt)	w_ c+b_ p02+gzyt)#2 N02
wbh)	w_ c+b_ p02+h) P01
wbh)y	w_ c+b_ p02+h)y P
wbh)y	w_ c+b_ p02+h)y#2 P
wbh)yy	w_ c+h)y P
wbhK	w_ c+b_ p02+hk P01
wbhdy	w_ c+bhdy p01
wbhhy)	w_ c+b_ p02+hhy) P01
wbhmnq	w_ c+b_ p02+hmnq N01
wbhnK	w_ c+b_ p02+hnk P01
wbhnpqt	w_ c+hnpqh N01
wbhny	w_ c+b_ p02+hny P01
wbhpsd	w_ c
wbhwd)t	w_ c
wbkwlhw	w_ c+b_ p02+kwl) P02
wbkwly	w_ c+b_ p02+kwl) P02
wbkwly@(lm)	w_ c+b_ p02+kwly@(lm) N02
wbkwlyh	w_ c+kwl) P02
wbkwz)	w_ c+b_ p02+kwz) N02
wbky	w_ c+bky V01
wbkyn)	w_ c+bky V01
wbkyswy)	w_ c+b_ p02+kyswy) N02
wbkyy	w_ c+kwy V01
wbl(	w_ c+bl( V01
wbl('	w_ c+bl( V01
wbl(yh	w_ c+bl( V01
wbl(ynhw	w_ c+bl( V01
wbl(ytnwN	w_ c+bl( V01
wbl)	w_ c+bl) p01
wblyly)	w_ c+b_ p02+lyly) N02
wblysTry	w_ c
wbm$lM	w_ c+b_ p02+$lm V01
wbm$x)	w_ c+b_ p02+my$x) N02
wbm'	w_ c+b_ p02+m)y P
wbm)y	w_ c+b_ p02+m)y P01
wbmTwy)	w_ c+b_ p02+mTwy A02
wbmqrq(y	w_ c+b_ p02+mqrq() N05
wbmsn)	w_ c+ms)n) N02
wbmtny'	w_ c+b_ p02
wbmylP	w_ c+b_ p02+ylp V01
wbmylt)	w_ c+b_ p02+mylt) N02
wbn)t)	w_ c+brt) N05
wbn)tyh	w_ c+brt) N05
wbnnhy	w_ c+bny V01
wbntK	w_ c+brt) N05
wbnty	w_ c+brt) N05
wbntyh	w_ c+brt) N05
wbny	w_ c+bny V01
wbny	w_ c+br) N04
wbny	w_ c+br) N05
wbny	w_ c+br@_ N04
wbnyn)	w_ c+bny V01
wbnyt	w_ c+bny V01
wbpTwry+	w_ c+pTwr) N05
wbplg)	w_ c+b_ p02+plg) N02
wbplwgt'	w_ c+plwgt) N02
wbplwgt)	w_ c+b_ p02+plwgt) N02
wbpny)	w_ c+b_ p02+pny) N02
wbprTy	w_ c+b_ p02+prT) N05
wbprhsy)	w_ c+b_ p02+prhsy) N02
wbptwr)	w_ c+b_ p02+ptwr) N02
wbpyrwq)	w_ c+b_ p02+pyrwq) N02
wbqby(t)	w_ c+qby(t) N05
wbqcyr	w_ c
wbqmyt)	w_ c+bqmyyt) a
wbqns)	w_ c+b_ p02+qns) N02
wbqr)	w_ c+bqr)#2 N02
wbqrqny	w_ c+qrq) N05
wbr$wtyh	w_ c+b_ p02+r$wt) N02
wbr$wtyhw	w_ c+r$wt) N02
wbr)	w_ c+br) N02
wbr@$wr)	w_ c+br@$wr) N02
wbr@)wryyN	w_ c+br@)wryyn N01
wbr@br)	w_ c+br@br) N02
wbr@bryh	w_ c+br@br) N02
wbr@gwh)	w_ c+br@gwh) N02
wbr@npx)	w_ c+br@npx) N02
wbr@qTl)	w_ c+br@qTl) N02
wbr@rbrby	w_ c+br@rbrby N01
wbr@xmc)	w_ c+br@xymc) N02
wbr@xymc)	w_ c+br@xymc) N02
wbr@zny)tyh	w_ c+brznyt) N05
wbrK	w_ c+brk V02
wbrrw	w_ c+brr V02
wbrt)	w_ c+brt) N02
wbrtyh	w_ c+brt) N02
wbrwky	w_ c+brk V02
wbrx	w_ c+brx V01
wbry$	w_ c+ry$) N01
wbry$@yrx)	w_ c+b_ p02+ry$@yrx) N02
wbry'	w_ c+brk V02
wbryK	w_ c+brk V02
wbryh	w_ c+br) N02
wbryh	w_ c+br) N02C
wbryky	w_ c+brk V02
wbryq	w_ c+brq V01
wbryt)	w_ c+bryyt) N02
wbryyt'	w_ c+br) A02
wbryyt)	w_ c+bryyt) N02
wbrzny)t)	w_ c+brznyt) N05
wbswP	w_ c+bswp a
wbsyM	w_ c+bsym A01
wbsymn'	w_ c+symn) N02
wbt	w_ c+bt@_ N01
wbt	w_ c+bwt V01
wbt$ry	w_ c+b_ p02+t$ry N01
wbt@cyd()	w_ c+bt@cyd() N02
wbt@gw$t)	w_ c+bt@gw$t) N02
wbt@gw$t)	w_ c+bt@gy$t) N02+myyb)dg N01
wbtr	w_ c+btr c
wbtr	w_ c+btr p01
wbtr)	w_ c+btr) A02
wbtr)y	w_ c+btr) A02
wbtrbyc)	w_ c+b_ p02+trbyc) N02
wbtrh	w_ c+btr p02
wbtrty	w_ c+b_ p02
wbtrty	w_ c+b_ p02+try n02
wbtry@b$bt)	w_ c+try@b$b) N02
wbtryyt)	w_ c+btr) A02
wbty	w_ c+byt) N04
wbty	w_ c+byt) N05
wbw(ryN	w_ c+b(wr) N03
wbwcly	w_ c+bcl) N05
wbwcly	w_ c+bwcl) N05
wbwd)y	w_ c+bwd)y a
wbwn)	w_ c+kwn) N02
wbwr)	w_ c+bwr)#3 N02
wbwstny	w_ c+bwstn) N05
wbx$kt)	w_ c+b_ p02+x$kt) N02
wbx$y	w_ c+bx$ V01
wbxbyt)	w_ c+b_ p02+xbyt) N02
wbxd	w_ c+b_ p02+xd n01
wbxd)	w_ c+b_ p02+xd n01
wbxd@b$bt)	w_ c+xd@b$b) N02
wbxm$y	w_ c+xm$) n02
wbxmy@sr	w_ c+xmysr n01
wbxmysr	w_ c+b_ p02+xmysr n01
wbxtym)	w_ c+b_ p02+xtm V01
wbxwly	w_ c+b_ p02+xwl) N02
wbxwmry'	w_ c+xwmr) N02
wbxwmryhwN	w_ c+xwmr) N05
wby	w_ c+byt) N01
wby$r'	w_ c+by&r) N02
wby$r)	w_ c+by&r) N02
wby$wlyh	w_ c+by$wl) N02
wby@dyn)	w_ c+by@dyn) N02
wby@qyry	w_ c+by@qyry N02
wby@sdy)	w_ c+by@sdy) N02
wby@tmry	w_ c+by@tmry N02
wby@try	w_ c+by@try N01
wbyN	w_ c+byn p01
wbyd)	w_ c+b_ p02+yd) N02
wbyh	w_ c+b_ p02
wbymmy	w_ c+b_ p02+ymm) N05
wbyn)	w_ c+byn) N02
wbyny	w_ c+byn p01
wbyt	w_ c+byt) N01
wbyt@dynyh	w_ c+by@dyn) N02
wbytmy	w_ c+b_ p02+ytm) N05
wbytry	w_ c+by@try N02
wbytryN	w_ c+by@try N02
wbywm)	w_ c+b_ p02+ywm) N02
wbywmy	w_ c+b_ p02+ywm) N04
wbywmy	w_ c+b_ p02+ywm) N05
wbywmy@Tby	w_ c+ywm)@Tb) N05
wbywmyh	w_ c+b_ p02+ywm) N02
wbyzbz	w_ c+bzbz V09
wbz(	w_ c+bz( V01
wbz?y?mnyh	w_ c+b_ p02+zymn) N02
wbzmnyh	w_ c+b_ p02+zymn) N02
wbzr)	w_ c+byzr) N02
wbzww)	w_ c+b_ p02+zww) N02
wbzwzy	w_ c+bzwz) N05
wbzwzy	w_ c+zwz) N05
wc(r)	w_ c+c(r) N02
wc(ryh	w_ c+c(r V02
wc(try	w_ c+cytry N05
wc)(y	w_ c+c() N05
wcb(	w_ c+cb( V01
wcb(yh	w_ c+cb( V01
wcbw	w_ c+cbw N01
wcby	w_ c+cby V01
wcdw	w_ c+cwd V01
wclqwh	w_ c+clq V01
wcly	w_ c+cly#2 V01
wcmcmw	w_ c+cmcm V01
wcmx	w_ c+cmx V01
wcny	w_ c+cn) N05
wcpryM	w_ c+cypr) N03
wcr	w_ c+crr V01
wcr	w_ c+cwr V01
wcrb)@mrbnN	w_ c+cwrb)@mrbnn N02
wcry?k?h	w_ c+cryk A01
wcryK	w_ c+cryk A01
wcryk'	w_ c+cryk A01
wcryk'	w_ c+cryk A02
wcryk)	w_ c+cryk A01
wcryk?y/N/?	w_ c+cryk A03
wcrykN	w_ c+cryk A03
wcrykN	w_ c+cryk A05
wcrykh	w_ c+cryk A01
wcryky	w_ c+cryk A01
wcryky	w_ c+cryk A03
wcryk}y	w_ c+cryk A05
wcw)	w_ c+cwy#2 V01
wcwrb)@mrbnN	w_ c+cwrb)@mrbnn N02
wcwrt)	w_ c+cwrt) N02
wcwwx	w_ c+cwwx V01
wcwxynN	w_ c+cwwx V01
wcwxynN	w_ c+cwwx V021
wcwxynN	w_ c+cwx V01
wcxn)t)	w_ c+cxnt) N02
wcyby	w_ c+cyby N05
wcynwh)	w_ c+cyyn V02
wcyydn)	w_ c+cwd V01
wcyyr	w_ c+crr V01
wcyyry	w_ c+cwr V01
wcyyry	w_ c+cwr#2 V01
wcyyryh	w_ c+crr V02
wcyyt	w_ c+cwt V01
wd$(ry	w_ c+d_ p+&(rt) N04
wd$bw(tyh	w_ c+d_ c+$bw(t) N02
wd$m)l)	w_ c+d_ p+&m)l) N02
wd$m)lyh	w_ c+d_ p+&m)l) N02
wd(bd	w_ c+d_ c+(bd V01
wd(byd	w_ c+d_ c+(bd V01
wd(mr@gwpn)	w_ c+(mr)@dgwpn) N01
wd(yC	w_ c+d(c V01
wd)	w_ c+d) P01
wd)?y?	wd)y a
wd)ly	w_ c+dly V02
wd)m'	w_ c+d_ c+)mr V01
wd)mrw	w_ c+d_ c+)mr V01
wd)mrynN	w_ c+d_ c+)mr V01
wd)mw	w_ c+dmy V01
wd)my	w_ c+dmy V01
wd)pqyh	w_ c+d_ c+npq V03
wd)pyq	w_ c+d_ c+npq V03
wd)rK	w_ c+dr) N02
wd)rw	w_ c+dry#2 V01
wd)tN	w_ c+d_ c+)ty V01
wd)tw	w_ c+d_ c+)ty V01
wd)ty	w_ c+)ty V01
wd)ty	w_ c+d_ c+)ty V01
wd)wryt'	w_ c+)wryyt) N02
wd)wryt)	w_ c+)wryyt) N02
wd)wryt)	w_ c+d_ c+)wryyt) N02
wd)wryt)	w_ c+d_ p+)wryyt) N02
wd)xy	w_ c+dxy V01
wd)xyky	w_ c+d_ c+xwk V03
wd)xzwq#15	w_ c+d_ c+xzq V03
wd)y	w_ c+wd)y a
wd)y	wd)y a
wd)y	wd)y aC
wd)y(bd	w_ c+dy(bd a
wd)yN	w_ c+dwn V01
wd)ygwM	w_ c+gmm V04
wd)ystdry)	w_ c+d_ p+)ystdyr) N02
wd)yt	w_ c+d_ c+)yt a
wd)yth	w_ c+d_ c+)yt a
wd-$mw'	w_ c+d_ p
wd-r'	w_ c+d_ c
wd-r'	w_ c+d_ p
wd-rb	w_ c+d_ c
wd-rbyn)	w_ c+d_ c
wdN	w_ c+dwn V01
wdbntyh	w_ c+d_ p+brt) N05
wdbny	w_ c+d_ p+br) N04
wdbq	w_ c+dbq V02
wdbqry	w_ c+d_ p+bqr)#2 N05
wdbqyh	w_ c+dbq V01
wdbqyh	w_ c+dbq V02
wdbryh	w_ c+d_ p+br) N02
wdby@krby	w_ c+by@krb) N02
wdbyq	w_ c+dbq V02
wdbytK	w_ c+dbyt) N02
wddry$	w_ c+d_ c+dr$ V01
wdgmyryN	w_ c+gmr V01
wdh)	w_ c+d_ c+h) P01
wdh)y	w_ c+d_ c+h)y P01
wdh)y	w_ c+d_ c+h)y#2 P01
wdh)y	w_ c+d_ p+h)y P01
wdhb)	w_ c+dhb) N02
wdhny	w_ c+d_ p+hny P01
wdhytyr)	w_ c+d_ c+hytyr) N02
wdkl	w_ c+d_ p+kwl) P01
wdkltyh	w_ c+d_ p+klt) N05
wdkr(yh	w_ c+d_ p+kr() N02
wdkwl'@(lm'	w_ c+kwly@(lm) N02
wdkwlhw	w_ c+d_ p+kwl) P02
wdkwly	w_ c+d_ p+kwl) P01
wdkwly@(lm'	w_ c+d_ c+kwly@(lm) N02
wdkwly@(lm'	w_ c+d_ c+kwly@(lm) P01
wdkwly@(lm'	w_ c+d_ p+kwly@(lm) N02
wdkwly@(lm)	w_ c+d_ c+kwly@(lm) N02
wdkwly@(lm)	w_ c+d_ p+kwly@(lm) N02
wdkwlyyt)	w_ c+d_ p+kwly) N05
wdkwth	w_ c+dkwwt_ p02
wdky	w_ c+d_ c+dky V02
wdky	w_ c+d_ c+ky c
wdkyrn)	w_ c+dkr V01
wdl	w_ c+dly V02
wdl)	w_ c+d_ c+l) a
wdl)	w_ c+d_ c+l) aC
wdl)	w_ c+d_ p+l) a
wdl?)?	w_ c+d_ c+l) a
wdlm'	dylm) c
wdlm'	w_ c+dylm) c
wdlm)	w_ c+dylm) c
wdlm)	w_ c+x$$ V01
wdlqy	w_ c+d_ c+lqy V01
wdlw()	w_ c+d_ p+lw() N02
wdly	w_ c+dly V02
wdlyP	w_ c+dlp V01
wdlyly)	w_ c+lyly) N02
wdlynN	w_ c+dly V02
wdlyt	w_ c+d_ c+lyt a
wdlytyh	w_ c+d_ c+lyt a
wdlywh	w_ c+dly V02
wdm(t)	w_ c+dm(t) N02
wdm)	w_ c+dm) N02
wdm)y	w_ c+dmy V01
wdmsyq	w_ c+d_ c+slq V03
wdmwny@)qy	w_ c+dmynq) N05
wdmwqr)	w_ c+d_ p+mwqr) N02
wdmy	w_ c+dmy V01
wdmy	w_ c+mr N02
wdmy)	w_ c+dmy V01
wdmy@bl(	w_ c+bl( V04
wdmykl	w_ c+d_ c+)kl V01
wdmyyN	w_ c+dmy V01
wdn$y	w_ c+d_ p+)ytt) N05
wdnpq)	w_ c+d_ c+npq V01
wdnpqy	w_ c+d_ c+npq V01
wdnq)	w_ c+dnq) N02
wdnxtyN	w_ c+nxt V01
wdp)n)	w_ c+dpn) N02
wdpn)	w_ c+dpn) N02
wdpnwh	w_ c+dpny V09
wdprTynN	w_ c+prT V01
wdpryq	w_ c+d_ c+prq V01
wdq$y)	w_ c+d_ c+q$y A01
wdq$y)	w_ c+d_ p+q$y A01
wdq$y)	w_ c+d_ p+q$y A03
wdq)	w_ c+d_ c+q) a
wdq)	w_ c+d_ c+q) aC
wdq)	w_ c+d_ p+q) a
wdq)	w_ c+q) a
wdq)'	w_ c+d_ c+)mr V01
wdq)+	w_ c
wdq)m'	w_ c+d_ c+)mr V01
wdq)mrt	w_ c+d_ c+)mr V01
wdq)mrt	w_ c+d_ c+q) a+)mr V01
wdq)ry	w_ c+d_ c+qry V01
wdq)ry	w_ c+d_ p+qry V01
wdq)ry	w_ c+qry V01
wdq)}ry	w_ c+qry V01
wdqb()	w_ c+d_ c+qb() N02
wdqb(y	w_ c+d_ c+qb( V01
wdqbyl	w_ c+d_ c+qbl V02
wdqmty)	w_ c+d_ c+)ty V03
wdqnyn)	w_ c+d_ c+qny V01
wdqym)	w_ c+d_ c+qwm V01
wdqynhw	w_ c+dqq V01
wdr$	w_ c+dr$ V01
wdr$nyy)	w_ c+dr$n) N05
wdr$w	w_ c+dr$ V01
wdr$y	w_ c+dr$ V01
wdr)py	w_ c+rpy A01
wdrK	w_ c+dr) N02
wdrb	w_ c+d_ p+rb N02
wdrbn)y	w_ c+d_ p+drbn) N05
wdrbnN	w_ c+d_ p+rbnn N05
wdrbrbN	w_ c+rb A03
wdrs	w_ c+drs V01
wdrw$	w_ c
wdrw$	w_ c+dr$ V01
wdrwm)y	w_ c+rwm)h A05
wdrxyM	w_ c+d_ c+rxm V01
wdry	w_ c+dr) N02
wdry	w_ c+dry V01
wdry	w_ c+dry#2 V01
wdry$	w_ c+dr$ V01
wdry)	w_ c+dry#2 V01
wdryh	w_ c+dr) N02
wdrynN	w_ c+dwr V01
wdswb)r	w_ c+zybwr) N01
wdsyyry	w_ c+d_ c+swr V01
wdwN	dwn V01
wdwN	w_ c+dwn V01
wdwb$)	w_ c+dwb$) N02
wdwks)	w_ c+dwks) N02
wdwmy)	w_ c+dwmy) N02
wdwq	w_ c+dqq V01
wdwq)	w_ c+dwwq) a
wdwq)	w_ c+q) a
wdwqh	w_ c+dwwq) a
wdwr)	w_ c+dwr)#3 N02
wdwwl)	w_ c+dwwl) N02+dwwl) N02
wdwwq)	w_ c+dwwq) a
wdwwq)	w_ c+q) a
wdx)zy	w_ c+xzy V01
wdxbrth	w_ c+d_ p+xbrt) N02
wdxbryh	w_ c+d_ p+xbr) N02
wdxcyh	w_ c+dxc V01
wdxly	w_ c+dxl V01
wdxq)	w_ c+dxq V01
wdxwyy	w_ c+dxy V02
wdxy	w_ c
wdxy	w_ c+dxy V01
wdxy)	w_ c+dxy V01
wdxyl	w_ c+dxl V01
wdxyl	w_ c+dxyl A01
wdxynN	w_ c+dxy V01
wdxyq	w_ c+dxq V01
wdxyq)	w_ c+dxq V01
wdy(b'	w_ c+dy(bd a
wdybrw	w_ c+d_ c+dbr V01
wdybwryh	w_ c+dybwr) N02
wdyd'	w_ c+dyd_ P02
wdydK	w_ c+dyd_ P02
wdydkw	w_ c+dyd_ P02
wdydy	w_ c+dyd_ P02
wdydyh	w_ c+dyd_ P02
wdyl'	w_ c+dylm) c
wdylm'	w_ c+dylm) c
wdylm)	w_ c+dylm) c
wdyly	w_ c+dyl_ P02
wdyl}m)	w_ c+dylm) c
wdymT)	w_ c+mTy V01
wdyn)	w_ c+dyn) N02
wdyn)	w_ c+dyn) N02C
wdynN	w_ c+)nn P01C
wdynr)	w_ c+dynr) N02
wdynry	w_ c+dynr) N05
wdynryN	w_ c+dynr) N03
wdyny	w_ c+dwn V01
wdyq)	w_ c+dwq V01
wdyq)	w_ c+dyq A01
wdyql)	w_ c+dyql) N02
wdyqly	hw) P01
wdyqly	w_ c+dyql) N05
wdyqwl)	w_ c+dyqwl) N02
wdyybN	w_ c+dwb V01
wdyyn)	w_ c+dwn V01
wdyyny	w_ c+dwn V01
wdyyq	w_ c+dwq V01
wdyyq'	w_ c+dqq V01
wdyyrt	w_ c+dwr V01
wdyys'	w_ c+dyys) N02
wdyys)	w_ c+dyys) N02
wdzwTrN	w_ c+d_ c+zwTr A03
wd}ry	w_ c+d_ c+dry#2 V01
wg$ry	w_ c+g$r V01
wg)g)y	w_ c+g)g)h N05
wg)l)	w_ c+gl) N02
wg)ny	w_ c+gny V01
wg)rys	w_ c+grs V01
wgbby	w_ c+gbb) N05
wgbr'	w_ c+gbr) N02
wgbr)	w_ c+gbr) N02
wgbry	w_ c+gbr) N05
wgbry)	w_ c+gbr) N05
wgby	w_ c+gby V01
wgby	w_ c+gby p
wgby	w_ c+gby p01
wgby)	w_ c+gby V01
wgby)}}	w_ c+gby V01
wgbyh	w_ c+gby p02
wgdl	w_ c+gdl V01
wgdr	w_ c+gdr V01
wgdrh	w_ c+gdr V01
wgdy)	w_ c+gdy) N02
wgdyl)	w_ c+gdl#2 V01
wgdyln)	w_ c+gdl#2 V01
wgllt)	w_ c+gllt) N02
wglw	w_ c+gly V01
wglw	w_ c+gly#2 V02
wgly	w_ c+gly#2 V02
wgly)	w_ c+gly#2 V01
wglym)	w_ c+glym) N02
wglymyh	w_ c+glym) N02
wgml)	w_ c+gml) N02
wgmr	w_ c+gmr V01
wgmr)	w_ c+gmr V01
wgmrh	w_ c+gmr V01
wgmrt	w_ c+gmr V01
wgmrw	w_ c+gmr V01
wgmry	w_ c+gmr V01
wgmryn'	w_ c+gmr V01
wgmyd	w_ c+gmd V01
wgmylwt@xsd)	w_ c+gmylwt@xsd) N02
wgmyr	w_ c+gmr V01
wgmyrn)	w_ c+gmr V01
wgmyry	w_ c+gmr V01
wgn)	w_ c+gny V01
wgnbwK	w_ c+gnb V01
wgnby	w_ c+gnb V01
wgnby	w_ c+gnb) N05
wgnw	w_ c+gny V01
wgnx	w_ c+gnx V02
wgnxyN	w_ c+gnx#2 V01
wgny	w_ c+gny V01
wgnyyt	w_ c+gny V01
wgr$h	w_ c+gr$ V02
wgr(th	w_ c+gr( V01
wgrM	w_ c+grm V01
wgrb)	w_ c+grb) N02
wgrbwh	w_ c+grb V01
wgrm)	w_ c+grm)#2 N02
wgrptyh	w_ c+grp V01
wgrsh	w_ c+grs V01
wgrsw	w_ c+grs V01
wgrsy	w_ c+grs V01
wgrsynhw	w_ c+grs V01
wgrsynhy	w_ c+grs V01
wgrw(y	w_ c+gr( V02
wgry	w_ c+gry V02
wgryM	w_ c+grm V01
wgryd)	w_ c+gyrd) N02
wgrys	w_ c+grs V01
wgryw)	w_ c+gryw) N02
wgwC	w_ c+gwc A01
wgwbr)	w_ c+gbr) N02
wgwbt)y	w_ c+gwbt) N02
wgwd	w_ c+ngd V01
wgwlt)	w_ c+gwlt) N02
wgwltyh	w_ c+gwlt) N02
wgwmry	w_ c+gwmrt) N05
wgwp)	w_ c+gwp) N02
wgwpny	w_ c+gwpn) N05
wgwpyh	w_ c+gwp) N02
wgwwz)	w_ c+gwwz) N02
wgwzly)	w_ c+gwzl) N05
wgyT'	w_ c+gyT) N02
wgyT)	w_ c+gyT) N02
wgyr$h	w_ c+gr$ V02
wgyrd)	w_ c+gyrd) N02
wgyrdmy	w_ c+gydm) N05
wgysy	w_ c+gys) N05
wgywr)	w_ c+gywr) N02
wgyydyh	w_ c+gyyd V02
wgyys)	w_ c+gws V01
wgyyz	w_ c+gzz V01
wgyz	w_ c+gzz V01
wgyzy	w_ c+gzz V01
wgy}$r)	w_ c+gy$r) N02
wgy}ydyh	w_ c+gyyd V02
wgz)	w_ c+gwwz) N02
wgzr	w_ c+gzr V01
wgzrw	w_ c+gzr V01
wgzrwh	w_ c+gzr V01
wgzw	w_ c+gzz V01
wgzwr	w_ c+gzr V01
wgzyy'	w_ c+gzz V01
wh$t'	w_ c+h$t) a
wh$t)	w_ c+h$t) a
wh$th	w_ c+h$t) a
wh'm	w_ c+mylt) N05
wh)	h) I
wh)	h) IC
wh)	mcr)h A05
wh)	w_ c
wh)	w_ c+h) I
wh)	w_ c+h) I01
wh)	w_ c+h) IC
wh)	w_ c+h) P
wh)	w_ c+h) P01
wh)	w_ c+h)y P01
wh)	w_ c+q) a
wh)'	w_ c+h) I
wh)'	w_ c+h) I+)mr V01
wh)+	w_ c+h) I
wh)+	w_ c+h) I01
wh)+	w_ c+h) P
wh)?	w_ c+h) I
wh)?y	w_ c+h)y P01
wh)?y?	w_ c+h)y P01
wh)@gydy	w_ c+)gd V01
wh)gy	w_ c+hgt) N05
wh)ky	w_ c+hky a
wh)m'	w_ c+h) I
wh)m'	w_ c+h) I+)mr V01
wh)m'	w_ c+h) I01
wh)mrt	w_ c+)mr V01
wh)mry	w_ c+)mr V01
wh)nN	w_ c+)nn P
wh)ny	w_ c+hny P
wh)ww	w_ c+hwy V01
wh)wy	w_ c+hwy V01
wh)y	w_ c+h)y P01
wh)y	w_ c+h)y P01C
wh)y	w_ c+h)y#2 P01
wh)y@dn)	w_ c+h)ydn) a
wh)y@m)y	w_ c+h)y@m)y a
wh)yK	w_ c+h)yk P01
wh)ydn)	w_ c+h)ydn) a
wh)ydn)	w_ c+h)ydn) aC
wh)yk'	w_ c+)yk) a
wh)yk)	w_ c+)yk) a
wh)ytml	w_ c+)ytml a
wh)yy	w_ c+h)y P01
wh?)?	w_ c+h) I01
wh?n?y	w_ c+hny P01
wh?tny	w_ c+tny V01
whK	w_ c+hk P01
whb	w_ c+yhb V01
whb'(	w_ c+(sq V01
whb(nN	w_ c+b(y V01
whbw	w_ c+yhb V01
whbyN	w_ c
whdr	w_ c+hdr V01
whdr	w_ c+hdr V01C
whdr)	w_ c+hdr V01
whdrh	w_ c+hdr V01
whdrt	w_ c+hdr V01
whdry	w_ c+hdr V01
whdtny)	w_ c+tny V01
whdwr	w_ c+hdr V01
whdyN	w_ c
whdyN	w_ c+hdyn P01
whdyr	hdr V01
whdyr)	w_ c+hdr V01
whgmwn)	w_ c+hgmwn) N02
whgry'	w_ c
whgy	w_ c+hgt) N05
whh	w_ c+hh N01
whhw)	w_ c+hhw) P01
whhy)	w_ c+hhy) P01
whhy)	w_ c+hhy) P01C
whk'	w_ c+hk) a
whk'	w_ c+ktb V01
whk)	w_ c+hk) a
whk)	w_ c+hk) aC
whkt'	w_ c
whkt'	w_ c+ktb V01
whkty'	w_ c+ktb V01
whky	hky aC
whky	w_ c
whky	w_ c+hky a
whky	w_ c+hky aC
whkyN	w_ c+hky a
whlk'	w_ c+hylkt) N02
whlk?t?)	w_ c+hylkt) N02
whlkt'	w_ c+hylkt) N02
whlkt)	w_ c+hylkt) N02
whlkt)	w_ c+hylkt) N05
whlyN	w_ c+hlyn P01
whlyl)	w_ c+hlyl) N02
whnK	w_ c+hnk P01
whnK	w_ c+hnk P01C
whnhw	w_ c+hnhw P01
whnwN	w_ c+)ynwn P01
whny	w_ c+hny P01
whpkynN	w_ c+hpk V01
whpyk)N	w_ c+hpk V01
whqb(w	w_ c+b(y V01
whqm$m(	w_ c+$m( V03
whqm'l	w_ c+$m( V03
whqmtqy	w_ c+tqn V02
whqtny	w_ c+tny V01
whqyp)	w_ c+hyqyp) N02
whrsn)	w_ c+hrsn) N02
whrw)t)	w_ c+xrwt) N05
whry	w_ c
whtM	w_ c
whtM	w_ c+htm a
whtnN	w_ c+tny V01
whtny	w_ c+tny V01
whtny'	w_ c+tny V01
whtny)	w_ c
whtny)	w_ c+tny V01
whtyr)	w_ c+hytyr) N02
whw'	w_ c+hw) P
whw'	w_ c+hwy V01
whw)	d_ c+hwy V01
whw)	hwy V01
whw)	rb N02
whw)	w_ c+hw) P
whw)	w_ c+hw) P01
whw)	w_ c+hw) P01C
whw)y	w_ c+hwy V01
whw?t?	w_ c+hwy V01
whw@)yt	w_ c+)yt a
whwcyN	w_ c+hwc) N02
whwdr?y?	w_ c+hwrd) N05
whwh	w_ c+hwy V01
whwh	w_ c+hwy V01C
whwh@)yt	w_ c+)yt a
whwt	w_ c+hwy V01
whww	w_ c+hwy V01
whww	w_ c+hwy V01C
whwwyyN	w_ c+hwy V01
whwy	w_ c+hwy V01
whwy	w_ c+hwy V01C
whwy	w_ c+hwy V02
whwy'	w_ c+hwy V01
whwy'	w_ c+hwy#2 V02
whwy)	w_ c+hwy V01
whwy)	w_ c+hwy V01C
whwyn)	w_ c+hwy V01
whwynN	w_ c+hwy V01
whwynN	w_ c+hwy V02
whwynN	w_ c+hwy#2 V01
whwynN	w_ c+hwy#2 V02
whwyy)	w_ c+hwy V01
whwyyN	hwy V01
whwy})	w_ c+hwy V01
whw})	w_ c+hwy V01
why	w_ c+hy P
why	w_ c+hy P01
why'	w_ c+hy) P
why)	w_ c+hy) P01
whydn)	w_ c+h)ydn) a
whygy	w_ c+hgt) N05
whyk'	w_ c+hyk) a
whyk'	w_ c+hyk)@d_ c
whyk'	w_ c+hyky a
whyk)	w_ c+hyk) a
whyk)	w_ c+hyk)@d_ c
whykN	w_ c+hyk) a
whyky	kgwn c
whyky	w_ c+hyky a
whyky	w_ c+hyky aC
whyl'	w_ c+hylkt) N02
whyl?k'	w_ c+hylkt) N02
whylk'	w_ c
whylk'	w_ c+hylkt) N02
whylkK	w_ c+hwlkk a
whylkt'	w_ c+hylkt) N02
whylkt)	w_ c+hylkt) N02
whylkth	w_ c+hylkt) N02
whylktyh	w_ c+hylkt) N02
whymynw	w_ c+hymn V09
